filename,item,condition,alpha,ink_total,ink_normalised,n_pixels
18B.png,18,B,0.5,11856.313725490196,0.009244285415599967,1282556
18C.png,18,C,0.75,17526.43137254902,0.013665236740188338,1282556
18D.png,18,D,1,23176,0.018070166136995264,1282556
19A.png,19,A,0.25,5977.537254901961,0.0046606442563926695,1282556
19B.png,19,B,0.5,11830.964705882352,0.009224520961176215,1282556
19C.png,19,C,0.75,17469.792156862746,0.013621075537335402,1282556
19D.png,19,D,1,23075,0.017991417138900775,1282556
1A.png,1,A,0.25,5981.929411764706,0.0046640687905749835,1282556
1B.png,1,B,0.5,11849.035294117646,0.009238610473240627,1282556
1C.png,1,C,0.75,17511.28235294118,0.013653425154879132,1282556
1D.png,1,D,1,23151,0.01805067381073425,1282556
20A.png,20,A,0.25,5980.674509803922,0.004663090352237184,1282556
20B.png,20,B,0.5,11843.513725490197,0.009234305344554333,1282556
20C.png,20,C,0.75,17497.831372549022,0.013642937518945783,1282556
20D.png,20,D,1,23125,0.01803040179142272,1282556
21A.png,21,A,0.25,5985.882352941177,0.004667150871339105,1282556
21B.png,21,B,0.5,11864.345098039215,0.009250547420961923,1282556
21C.png,21,C,0.75,17544.37647058824,0.013679228408418965,1282556
21D.png,21,D,1,23208,0.018095116314609277,1282556
22A.png,22,A,0.25,5979.545098039216,0.0046622097577331744,1282556
22B.png,22,B,0.5,11838.996078431372,0.009230782966538224,1282556
22C.png,22,C,0.75,17487.737254901964,0.013635067205566044,1282556
22D.png,22,D,1,23107,0.018016367316514872,1282556
23A.png,23,A,0.25,5975.090196078431,0.00465873630163396,1282556
23B.png,23,B,0.5,11821.176470588234,0.009216889142141332,1282556
23C.png,23,C,0.75,17447.92156862745,0.013604023191679273,1282556
23D.png,23,D,1,23036,0.01796100910993354,1282556
24A.png,24,A,0.25,5973.9607843137255,0.004657855707129918,1282556
24B.png,24,B,0.5,11816.658823529411,0.00921336676412526,1282556
24C.png,24,C,0.75,17437.827450980392,0.013596152878299605,1282556
24D.png,24,D,1,23018,0.017946974635025675,1282556
25A.png,25,A,0.25,5978.541176470588,0.004661427007062908,1282556
25B.png,25,B,0.5,11835.23137254902,0.009227847651524776,1282556
25C.png,25,C,0.75,17479.88235294118,0.013628942793095322,1282556
25D.png,25,D,1,23094,0.018006231306859067,1282556
26A.png,26,A,0.25,5975.466666666666,0.00465902983313531,1282556
26B.png,26,B,0.5,11822.682352941176,0.009218063268146741,1282556
26C.png,26,C,0.75,17451.286274509806,0.013606646629472526,1282556
26D.png,26,D,1,23042,0.01796568726823618,1282556
27A.png,27,A,0.25,5973.992156862745,0.004657880168088379,1282556
27B.png,27,B,0.5,11816.909803921568,0.009213562451792782,1282556
27C.png,27,C,0.75,17438.666666666668,0.013596807208937937,1282556
27D.png,27,D,1,23020,0.017948534021126596,1282556
28A.png,28,A,0.25,5977.2235294117645,0.0046603996468082345,1282556
28B.png,28,B,0.5,11829.709803921569,0.009223542522838449,1282556
28C.png,28,C,0.75,17466.98823529412,0.013618889339174333,1282556
28D.png,28,D,1,23070,0.017987518673648565,1282556
29A.png,29,A,0.25,5973.803921568628,0.004657733402337704,1282556
29B.png,29,B,0.5,11816.658823529411,0.00921336676412526,1282556
29C.png,29,C,0.75,17439.219607843137,0.01359723833333062,1282556
29D.png,29,D,1,23023,0.017950873100277875,1282556
2A.png,2,A,0.25,5981.364705882353,0.0046636284933229705,1282556
2B.png,2,B,0.5,11846.274509803921,0.00923645790889748,1282556
2C.png,2,C,0.75,17504,0.01364774715490004,1282556
2D.png,2,D,1,23136,0.01803897841497751,1282556
30A.png,30,A,0.25,5972.78431372549,0.0046569384211882356,1282556
30B.png,30,B,0.5,11812.517647058823,0.0092101379176105,1282556
30C.png,30,C,0.75,17429.827450980392,0.013589915333896049,1282556
30D.png,30,D,1,23006,0.01793761831842045,1282556
31A.png,31,A,0.25,5966.729411764706,0.004652217456208293,1282556
31B.png,31,B,0.5,11788.674509803921,0.009191547589192132,1282556
31C.png,31,C,0.75,17377.38823529412,0.013549028841854964,1282556
31D.png,31,D,1,22914,0.0178658865577799,1282556
32A.png,32,A,0.25,5967.137254901961,0.004652535448668106,1282556
32B.png,32,B,0.5,11790.43137254902,0.009192917402865057,1282556
32C.png,32,C,0.75,17381.592156862745,0.01355230661028665,1282556
32D.png,32,D,1,22922,0.017872124102183473,1282556
33A.png,33,A,0.25,5961.866666666667,0.004648426007649328,1282556
33B.png,33,B,0.5,11769.850980392157,0.009176871014125022,1282556
33C.png,33,C,0.75,17336.721568627454,0.013517321324470415,1282556
33D.png,33,D,1,22844,0.017811308044249075,1282556
34A.png,34,A,0.25,5962.3372549019605,0.004648792922025977,1282556
34B.png,34,B,0.5,11771.607843137255,0.009178240827797954,1282556
34C.png,34,C,0.75,17340.368627450982,0.013520164910889669,1282556
34D.png,34,D,1,22850,0.017815986202551797,1282556
35A.png,35,A,0.25,5958.756862745098,0.004646001315143419,1282556
35B.png,35,B,0.5,11758.494117647058,0.009168016147167887,1282556
35C.png,35,C,0.75,17313.67843137255,0.013499354750492376,1282556
35D.png,35,D,1,22807,0.017782459401382903,1282556
36A.png,36,A,0.25,5950.588235294118,0.004639632293088259,1282556
36B.png,36,B,0.5,11727.435294117648,0.009143799798307144,1282556
36C.png,36,C,0.75,17247.658823529415,0.013447879721064326,1282556
36D.png,36,D,1,22695,0.01769513377973356,1282556
37A.png,37,A,0.25,5948.635294117647,0.004638109598425071,1282556
37B.png,37,B,0.5,11719.780392156863,0.009137831324446528,1282556
37C.png,37,C,0.75,17230.764705882353,0.013434707494941607,1282556
37D.png,37,D,1,22665,0.017671742988220402,1282556
38A.png,38,A,0.25,5943.584313725491,0.004634171384115394,1282556
38B.png,38,B,0.5,11699.827450980392,0.009122274154875437,1282556
38C.png,38,C,0.75,17187.01568627451,0.013400596688389794,1282556
38D.png,38,D,1,22589,0.017612486316387,1282556
39A.png,39,A,0.25,5930.411764705882,0.004623900839188226,1282556
39B.png,39,B,0.5,11650.698039215686,0.009083968293950254,1282556
39C.png,39,C,0.75,17084.65882352941,0.013320789753842703,1282556
39D.png,39,D,1,22419,0.0174799384978122,1282556
3A.png,3,A,0.25,5980.345098039215,0.004662833512173504,1282556
3B.png,3,B,0.5,11842.38431372549,0.009233424750050276,1282556
3C.png,3,C,0.75,17495.72549019608,0.013641295577110154,1282556
3D.png,3,D,1,23122,0.018028062712271364,1282556
40A.png,40,A,0.25,5924.8,0.004619525385246326,1282556
40B.png,40,B,0.5,11628.423529411764,0.009066601013454207,1282556
40C.png,40,C,0.75,17034.78823529412,0.013281906002774244,1282556
40D.png,40,D,1,22329,0.017409766123272573,1282556
41A.png,41,A,0.25,5914.262745098039,0.0046113095608285685,1282556
41B.png,41,B,0.5,11587.450980392157,0.00903465500172478,1282556
41C.png,41,C,0.75,16946.196078431374,0.01321283131374484,1282556
41D.png,41,D,1,22177,0.017291252779605727,1282556
42A.png,42,A,0.25,5894.019607843137,0.004595526127391819,1282556
42B.png,42,B,0.5,11510.023529411765,0.008974285356282103,1282556
42C.png,42,C,0.75,16780.92156862745,0.01308396792703593,1282556
42D.png,42,D,1,21896,0.01707215903243209,1282556
43A.png,43,A,0.25,5875.64705882353,0.004581201178602363,1282556
