factor,slider.response,my_rs,difference
standard_plot,0.125,0.469318182,0.344318182
size_manipulated,0.08425928,0.3975,0.31324072
size_manipulated,0.175000014,0.415454545,0.240454531
size_manipulated,0.350000028,0.738636364,0.388636336
size_manipulated,0.189814815,0.469318182,0.279503367
size_manipulated,0.79814812,0.882272727,0.084124607
size_manipulated,0.150925919,0.307727273,0.156801354
size_manipulated,0.998148176,0.99,-0.008148176
standard_plot,0.883333418,0.954090909,0.070757491
size_manipulated,0.523148148,0.864318182,0.341170034
standard_plot,0,0.217954545,0.217954545
standard_plot,0.014814836,0.630909091,0.616094255
standard_plot,0.024074095,0.307727273,0.283653178
size_manipulated,0.266666695,0.612954545,0.34628785
size_manipulated,0.234259288,0.577045455,0.342786167
size_manipulated,0.404629672,0.630909091,0.226279419
standard_plot,0.475000028,0.828409091,0.353409063
standard_plot,0.109259252,0.325681818,0.216422566
standard_plot,0.056481503,0.361590909,0.305109406
size_manipulated,0.118518511,0.325681818,0.207163307
standard_plot,0.047222243,0.289772727,0.242550484
standard_plot,0.974074046,0.99,0.015925954
size_manipulated,0.693518533,0.684772727,-0.008745806
standard_plot,0.10555557,0.343636364,0.238080794
size_manipulated,0.475000028,0.7925,0.317499972
standard_plot,0.424074102,0.810454545,0.386380443
standard_plot,0.300925926,0.702727273,0.401801347
standard_plot,0.48055557,0.7925,0.31194443
standard_plot,0.126851859,0.523181818,0.396329959
standard_plot,0.298148191,0.720681818,0.422533627
standard_plot,0.527777778,0.774545455,0.246767677
size_manipulated,0.895370342,0.918181818,0.022811476
standard_plot,0.813888974,0.936136364,0.12224739
standard_plot,0.361111111,0.541136364,0.180025253
standard_plot,0.107407429,0.559090909,0.45168348
size_manipulated,0.158333355,0.541136364,0.382803009
size_manipulated,0.812962991,0.900227273,0.087264282
size_manipulated,0.709259245,0.702727273,-0.006531972
size_manipulated,0.768518519,0.828409091,0.059890572
standard_plot,0.043518526,0.235909091,0.192390565
standard_plot,0.645370413,0.864318182,0.218947769
size_manipulated,0.109259252,0.289772727,0.180513475
size_manipulated,0.699074074,0.846363636,0.147289562
size_manipulated,0.142592607,0.451363636,0.308771029
standard_plot,0.829629686,0.972045455,0.142415769
standard_plot,0.028703725,0.2,0.171296275
standard_plot,0.037037037,0.451363636,0.414326599
standard_plot,0.374444444,0.469318182,0.094873738
standard_plot,0.926666667,0.954090909,0.027424242
size_manipulated,0.455555556,0.523181818,0.067626262
standard_plot,0.695555556,0.702727273,0.007171717
size_manipulated,0.517777778,0.415454545,-0.102323233
standard_plot,0.344444444,0.487272727,0.142828283
size_manipulated,0.711111111,0.684772727,-0.026338384
standard_plot,0.268888889,0.361590909,0.09270202
size_manipulated,0.833333333,0.864318182,0.030984849
standard_plot,0.815555556,0.936136364,0.120580808
size_manipulated,0.874444444,0.918181818,0.043737374
standard_plot,0.367777778,0.684772727,0.316994949
size_manipulated,0.364444444,0.361590909,-0.002853535
size_manipulated,0.662222222,0.612954545,-0.049267677
size_manipulated,0.743333333,0.738636364,-0.004696969
size_manipulated,0.607777778,0.648863636,0.041085858
size_manipulated,0.547777778,0.541136364,-0.006641414
standard_plot,0.556666667,0.720681818,0.164015151
size_manipulated,0.832222222,0.828409091,-0.003813131
size_manipulated,0.964444444,0.954090909,-0.010353535
standard_plot,0.86,0.882272727,0.022272727
standard_plot,0.361111111,0.666818182,0.305707071
standard_plot,0.47,0.810454545,0.340454545
size_manipulated,0.484444444,0.595,0.110555556
size_manipulated,0.393333333,0.559090909,0.165757576
size_manipulated,0.4,0.469318182,0.069318182
size_manipulated,0.827777778,0.846363636,0.018585858
standard_plot,0.098888889,0.379545455,0.280656566
standard_plot,0.828888889,0.846363636,0.017474747
size_manipulated,0.627777778,0.451363636,-0.176414142
standard_plot,0.464444444,0.415454545,-0.048989899
standard_plot,0.975555556,0.99,0.014444444
standard_plot,0.418888889,0.577045455,0.158156566
size_manipulated,0.378888889,0.3975,0.018611111
standard_plot,0.422222222,0.325681818,-0.096540404
standard_plot,0.49,0.738636364,0.248636364
standard_plot,0.41,0.307727273,-0.102272727
size_manipulated,0.36,0.253863636,-0.106136364
size_manipulated,0.388888889,0.307727273,-0.081161616
size_manipulated,0.543333333,0.487272727,-0.056060606
standard_plot,0.25,0.271818182,0.021818182
standard_plot,0.692222222,0.756590909,0.064368687
standard_plot,0.888888889,0.900227273,0.011338384
size_manipulated,0.884444444,0.810454545,-0.073989899
standard_plot,0.786666667,0.630909091,-0.155757576
size_manipulated,0.728888889,0.379545455,-0.349343434
standard_plot,0.798888889,0.864318182,0.065429293
standard_plot,0.197777778,0.2,0.002222222
standard_plot,0.171111111,0.451363636,0.280252525
size_manipulated,0.813333333,0.505227273,-0.30810606
standard_plot,0.718888889,0.595,-0.123888889
size_manipulated,0.817777778,0.666818182,-0.150959596
standard_plot,0.547777778,0.253863636,-0.293914142
standard_plot,0.503333333,0.433409091,-0.069924242
size_manipulated,0.346666667,0.235909091,-0.110757576
standard_plot,0.573333333,0.648863636,0.075530303
size_manipulated,0.91,0.774545455,-0.135454545
size_manipulated,0.33,0.271818182,-0.058181818
standard_plot,0.29,0.343636364,0.053636364
standard_plot,0.185555556,0.289772727,0.104217171
standard_plot,0.237777778,0.217954545,-0.019823233
size_manipulated,0.186666667,0.2,0.013333333
size_manipulated,0.717777778,0.720681818,0.00290404
standard_plot,0.68,0.559090909,-0.120909091
standard_plot,0.735555556,0.541136364,-0.194419192
standard_plot,0.843333333,0.828409091,-0.014924242
standard_plot,0.853333333,0.523181818,-0.330151515
size_manipulated,0.792222222,0.577045455,-0.215176767
standard_plot,0.806666667,0.7925,-0.014166667
standard_plot,0.652222222,0.505227273,-0.146994949
size_manipulated,0.921111111,0.882272727,-0.038838384
size_manipulated,0.863333333,0.7925,-0.070833333
size_manipulated,0.307777778,0.289772727,-0.018005051
standard_plot,0.238888889,0.235909091,-0.002979798
size_manipulated,0.67,0.702727273,0.032727273
size_manipulated,0.894444444,0.900227273,0.005782829
size_manipulated,0.867777778,0.936136364,0.068358586
size_manipulated,0.534444444,0.325681818,-0.208762626
standard_plot,0.677777778,0.774545455,0.096767677
size_manipulated,0.467777778,0.343636364,-0.124141414
size_manipulated,0.981111111,0.972045455,-0.009065656
size_manipulated,0.8,0.630909091,-0.169090909
standard_plot,0.613333333,0.3975,-0.215833333
size_manipulated,0.372222222,0.217954545,-0.154267677
size_manipulated,0.636666667,0.433409091,-0.203257576
standard_plot,0.837777778,0.918181818,0.08040404
standard_plot,0.898888889,0.972045455,0.073156566
size_manipulated,0.985555556,0.99,0.004444444
standard_plot,0.753333333,0.612954545,-0.140378788
size_manipulated,0.7,0.756590909,0.056590909
standard_plot,0.201388889,0.918181818,0.716792929
size_manipulated,0.09837963,0.307727273,0.209347643
size_manipulated,0.104166667,0.433409091,0.329242424
size_manipulated,0.502314815,0.828409091,0.326094276
standard_plot,0.15162037,0.864318182,0.712697812
size_manipulated,0.226851852,0.559090909,0.332239057
size_manipulated,0.635416667,0.882272727,0.24685606
standard_plot,0.690972222,0.2,-0.490972222
size_manipulated,0.478009259,0.774545455,0.296536196
standard_plot,0.533564815,0.846363636,0.312798821
standard_plot,0.075231481,0.684772727,0.609541246
standard_plot,0.259259259,0.415454545,0.156195286
size_manipulated,0.381944444,0.217954545,-0.163989899
standard_plot,0.449074074,0.595,0.145925926
size_manipulated,0.366898148,0.595,0.228101852
standard_plot,0.381944444,0.361590909,-0.020353535
standard_plot,0.454861111,0.828409091,0.37354798
standard_plot,0.28125,0.433409091,0.152159091
size_manipulated,0.332175926,0.3975,0.065324074
standard_plot,0.280092593,0.900227273,0.62013468
size_manipulated,0.266203704,0.505227273,0.239023569
standard_plot,0.385416667,0.541136364,0.155719697
size_manipulated,0.454861111,0.918181818,0.463320707
size_manipulated,0.628472222,0.972045455,0.343573233
size_manipulated,0.460648148,0.235909091,-0.224739057
size_manipulated,0.003472222,0.99,0.986527778
standard_plot,0.284722222,0.343636364,0.058914142
standard_plot,0.302083333,0.559090909,0.257007576
size_manipulated,0.164351852,0.379545455,0.215193603
standard_plot,0.212962963,0.648863636,0.435900673
size_manipulated,0.418981481,0.666818182,0.247836701
standard_plot,0.298611111,0.612954545,0.314343434
